"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore.","15117","'Book this room' button.","test","Sat May 10 17:11:52 GMT 2025","broken","Sat May 10 17:12:08 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked.","15176","'Contact' block visibility after clicking 'Book this room' button.","test","Sat May 10 17:12:43 GMT 2025","broken","Sat May 10 17:12:59 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0.","553","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","test","Sat May 10 17:11:32 GMT 2025","broken","Sat May 10 17:11:33 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons.","15107","'Cancel' BUTTON is hiding 'Rooms' block.","test","Sat May 10 17:12:27 GMT 2025","broken","Sat May 10 17:12:42 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"","0","testcase","test","Sat May 10 17:10:59 GMT 2025","broken","Sat May 10 17:10:59 GMT 2025","","test_shady_meadow_selenium","",""
"","15175","'Contact' block 'Submit' button.","test","Sat May 10 17:13:18 GMT 2025","broken","Sat May 10 17:13:33 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"Check that clicking the“Cancel” button under the Calendar block, which contains Calendar itself, “First Name”, “Last Name”, “Email”, “Phone” fields, “Book” and “Cancel” buttons, is hiding this entire block including fields and buttons.","15183","'Cancel' BUTTON is hiding 'Rooms' block.","test","Sat May 10 17:12:09 GMT 2025","broken","Sat May 10 17:12:24 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"Check that “row-contact” block under “Rooms” block, which contains “First Name”, “Last Name”, “Email”, “Phone”, “Message” fields and “Submit” button are still displayed at the Main page after “Book this Room” button was clicked.","15118","'Contact' block visibility after clicking 'Book this room' button.","test","Sat May 10 17:13:01 GMT 2025","broken","Sat May 10 17:13:16 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"","15106","'Contact' block 'Submit' button.","test","Sat May 10 17:13:36 GMT 2025","broken","Sat May 10 17:13:51 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"Check that the “Book this Room” button is visible at the Main page, after clicking this button it disappears from the page and cannot be clicked anymore.","15168","'Book this room' button.","test","Sat May 10 17:11:34 GMT 2025","broken","Sat May 10 17:11:50 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
"In this test first I click on 'Let me hack' button, that's why location_y has changed from 687 to 0.","16517","Check that the 'Shady Meadows B&B' (rbp-logo.png) image appears at the Main page in the correct position.","test","Sat May 10 17:11:02 GMT 2025","broken","Sat May 10 17:11:19 GMT 2025","TestShadyMeadows","Shady Meadows B&B UI","",""
